Season,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,W_H,D_H,L_H,GF_H,GA_H,GD_H,W_A,D_A,L_A,GF_A,GA_A,GD_A
2012,35,2,1.0,0.0,H,1.61,4.23,6.09,1.62,4.59,7.95,1.52,3.92,5.97,5,2,1,15,11,4,0,2,6,4,15,-11
2012,21,34,3.0,1.0,H,1.42,4.94,8.94,1.45,5.4,8.97,1.37,4.41,7.96,5,0,4,12,9,3,3,3,3,10,11,-1
2012,32,6,0.0,0.0,D,2.24,3.6,3.37,2.35,3.7,3.42,2.21,3.28,3.1,1,6,2,7,7,0,5,1,3,21,15,6
2012,26,29,3.0,0.0,H,2.25,3.58,3.37,2.27,3.58,3.4,2.15,3.28,3.2,3,1,5,10,17,-7,4,3,2,13,9,4
2012,30,14,0.0,2.0,A,2.59,3.36,2.97,2.62,3.38,3.0,2.44,3.2,2.78,2,2,5,6,12,-6,4,2,3,12,11,1
2012,3,22,3.0,1.0,H,1.69,3.96,5.73,1.85,4.0,5.73,1.72,3.51,4.64,7,1,1,16,6,10,4,4,1,12,7,5
2012,17,11,0.0,3.0,A,2.57,3.36,3.01,2.58,3.5,3.1,2.38,3.2,2.89,4,3,2,15,13,2,2,2,5,7,12,-5
2012,33,35,0.0,1.0,A,1.89,3.75,4.42,1.92,3.8,4.42,1.86,3.39,4.04,5,1,3,12,10,2,6,2,1,16,11,5
2012,2,16,3.0,2.0,H,1.97,3.44,4.38,2.2,3.8,4.44,1.98,3.34,3.63,0,2,7,4,16,-12,1,5,3,11,14,-3
2012,12,27,1.0,1.0,D,1.86,3.72,4.53,1.89,3.9,4.55,1.79,3.5,4.21,2,1,6,14,20,-6,1,3,5,8,11,-3
2012,18,5,4.0,0.0,H,1.38,5.3,9.11,1.4,5.5,10.13,1.34,4.57,8.98,5,4,0,16,6,10,1,4,4,7,12,-5
2012,34,3,1.0,4.0,A,3.67,3.5,2.16,3.78,3.5,2.25,3.3,3.3,2.09,3,3,4,11,14,-3,8,1,1,19,7,12
2012,35,32,2.0,0.0,H,1.78,3.83,5.11,1.8,3.83,5.15,1.69,3.56,4.76,7,2,1,17,11,6,1,7,2,7,7,0
2012,11,30,1.0,1.0,D,1.7,4.09,5.33,1.7,4.09,6.8,1.57,3.74,5.7,3,2,5,10,12,-2,2,2,6,6,14,-8
2012,14,17,1.0,0.0,H,1.74,3.94,5.2,1.83,3.94,5.2,1.77,3.53,4.27,5,2,3,14,11,3,4,3,3,15,16,-1
2012,16,33,0.0,2.0,A,2.47,3.45,3.07,2.54,3.45,3.11,2.4,3.22,2.82,1,5,4,13,17,-4,5,1,4,12,11,1
2012,22,2,4.0,1.0,H,1.67,3.91,6.04,1.67,4.3,6.5,1.57,3.7,5.75,4,4,2,13,10,3,1,2,7,7,18,-11
2012,27,26,3.0,0.0,H,1.55,4.25,7.13,1.6,4.25,7.13,1.53,3.8,6.11,1,4,5,9,12,-3,4,1,5,13,17,-4
2012,5,12,2.0,2.0,D,2.35,3.45,3.28,2.4,3.45,3.29,2.27,3.23,3.0,1,4,5,7,16,-9,2,2,6,15,21,-6
2012,6,21,0.0,1.0,A,2.02,3.52,3.98,2.06,3.61,3.99,1.98,3.37,3.58,5,2,3,21,15,6,6,0,4,15,10,5
2012,29,18,1.0,2.0,A,3.33,3.49,2.29,3.34,3.51,2.4,3.04,3.27,2.22,4,3,3,13,12,1,6,4,0,20,6,14
2012,16,22,0.0,1.0,A,2.64,3.46,2.8,2.64,3.46,2.86,2.51,3.21,2.67,1,5,5,13,19,-6,5,4,2,17,11,6
2012,29,34,1.0,1.0,D,1.71,3.98,5.22,1.8,4.05,5.22,1.71,3.61,4.56,4,3,4,14,14,0,3,3,5,12,18,-6
2012,26,12,3.0,4.0,A,2.22,3.71,3.31,2.24,3.71,3.4,2.14,3.32,3.19,4,1,6,13,20,-7,2,3,6,17,23,-6
2012,35,6,1.0,0.0,H,2.43,3.66,2.99,2.46,3.66,3.2,2.29,3.3,2.92,8,2,1,19,11,8,5,2,4,21,16,5
2012,2,33,4.0,3.0,H,2.67,3.42,2.84,2.9,3.42,2.84,2.68,3.2,2.5,1,2,8,8,22,-14,6,1,4,14,11,3
2012,11,14,2.0,0.0,H,1.99,3.53,4.25,1.99,3.53,4.25,1.92,3.28,3.83,3,3,5,11,13,-2,6,2,3,15,11,4
2012,21,18,1.0,0.0,H,1.79,3.74,5.0,2.02,3.74,5.0,1.79,3.45,4.26,7,0,4,16,10,6,7,4,0,22,7,15
2012,3,32,2.0,0.0,H,1.57,4.17,6.99,1.57,4.75,8.33,1.49,3.9,6.58,9,1,1,23,8,15,1,7,3,7,9,-2
